Date,DIS,NFLX,SPOT
2021-11-12,25638400,41984000,1853700
2021-11-15,21285300,28722000,1055200
2021-11-16,15516200,20774000,1586900
2021-11-17,14695500,27328000,1103300
2021-11-18,14487700,20129000,1049600
2021-11-19,16776500,26137000,799500
2021-11-22,12790400,27644000,1346300
2021-11-23,17382900,23202000,2356700
2021-11-24,14123700,18673000,1552300
2021-11-26,12027700,28725000,836900
2021-11-29,21231300,25294000,1347600
2021-11-30,26011100,56089000,1874200
2021-12-01,16469000,38828000,1627300
2021-12-02,18177700,33311000,1603200
2021-12-03,14975600,48293000,1831000
2021-12-06,14333900,30757000,1186000
2021-12-07,14661100,31252000,1089400
2021-12-08,12886300,22203000,1137700
2021-12-09,11862300,23763000,1059900
2021-12-10,10247900,27488000,838400
2021-12-13,10195800,25179000,1188000
2021-12-14,10872000,29845000,2137100
2021-12-15,12231500,28662000,1557700
2021-12-16,11145600,31432000,1130000
2021-12-17,13785000,43869000,1697700
2021-12-20,11201900,33584000,1120600
2021-12-21,10781400,23194000,716600
2021-12-22,7820400,23357000,972700
2021-12-23,6572400,16211000,813000
2021-12-27,7762000,20615000,963900
2021-12-28,12198700,18828000,775200
2021-12-29,8737000,12872000,1155700
2021-12-30,7228400,16251000,941500
2021-12-31,6410200,19959000,870600
2022-01-03,10222800,30675000,1933300
2022-01-04,16582000,43931000,1874400
2022-01-05,12272100,41487000,1345300
2022-01-06,11095300,57118000,1171900
2022-01-07,9554600,33829000,907200
2022-01-10,8672900,44861000,1394000
2022-01-11,8042600,30778000,1175400
2022-01-12,6995600,37874000,1111600
2022-01-13,9680600,44751000,985600
2022-01-14,16832000,78611000,1665400
2022-01-18,10419500,48391000,1380200
2022-01-19,10413200,43535000,1659900
2022-01-20,11760400,126590000,2517800
2022-01-21,34491800,589043000,3150100
2022-01-24,31419500,323460000,3003600
2022-01-25,14694400,151458000,2074400
2022-01-26,14569900,126840000,2654600
2022-01-27,11913900,243247000,2512900
2022-01-28,10011700,119666000,2515500
2022-01-31,10185500,200475000,4882400
2022-02-01,8573300,225681000,2868500
2022-02-02,9529900,143460000,6687900
2022-02-03,9820600,99052000,14049300
2022-02-04,8061100,77898000,5779200
2022-02-07,10937500,82329000,4407100
2022-02-08,9231700,68185000,3828200
2022-02-09,22877400,77382000,4911100
2022-02-10,42500300,84529000,2235700
2022-02-11,17975200,75589000,2158300
2022-02-14,14694700,72022000,1608000
2022-02-15,12726000,53923000,1384500
2022-02-16,10656400,52777000,1577100
2022-02-17,8110300,46692000,2017800
2022-02-18,10785500,68017000,2331000
2022-02-22,12227200,66975000,1849300
2022-02-23,9300700,46143000,1450100
2022-02-24,12475500,70687000,2352200
2022-02-25,10149500,48416000,1674500
2022-02-28,10834700,50350000,1883400
2022-03-01,8944000,32904000,1404500
2022-03-02,7851000,53568000,1462000
2022-03-03,8048400,60768000,2393500
2022-03-04,12913000,53255000,2383600
2022-03-07,14549700,57084000,2320100
2022-03-08,16552000,64287000,1858600
2022-03-09,14673100,65202000,1521800
2022-03-10,8447200,48078000,1978600
2022-03-11,7058400,48199000,2027600
2022-03-14,9971500,59078000,2185000
2022-03-15,9834800,54606000,1496900
2022-03-16,10638700,69825000,2297900
2022-03-17,6816000,58183000,1977500
2022-03-18,11308800,83248000,2575100
2022-03-21,9090300,48665000,1930200
2022-03-22,8511600,42428000,2535100
2022-03-23,8761300,37290000,2102800
2022-03-24,5858800,38885000,2310400
2022-03-25,5949400,35745000,1161200
2022-03-28,8456100,43234000,939700
2022-03-29,11280700,58807000,1597200
2022-03-30,7922400,40233000,1643100
2022-03-31,12306500,41347000,1371800
2022-04-01,10341000,46442000,1408800
2022-04-04,8174600,70018000,2213800
2022-04-05,8694100,42345000,1695400
2022-04-06,11679700,43549000,2308400
2022-04-07,9858700,49489000,1404300
2022-04-08,6702000,40252000,1434100
2022-04-11,9915300,37771000,1416400
2022-04-12,7885600,38243000,1043200
2022-04-13,7694500,32310000,1092500
2022-04-14,7283500,43438000,1304400
2022-04-18,10571000,51050000,960900
2022-04-19,12767200,209069000,907000
2022-04-20,36465700,1333875000,5654800
2022-04-21,18688600,535016000,4384300
2022-04-22,19472800,375151000,2445000
2022-04-25,16491000,281520000,3044800
2022-04-26,16116000,203181000,4875400
2022-04-27,15553000,222984000,9175100
2022-04-28,23192100,213632000,4117900
2022-04-29,16907000,163919000,2981700
2022-05-02,14300700,145916000,2698800
2022-05-03,11149500,118394000,2004300
2022-05-04,11488300,122188000,2479800
2022-05-05,12720200,139713000,2449700
2022-05-06,12525200,171855000,3018600
2022-05-09,17941600,140313000,2305500
2022-05-10,15657700,138839000,3158000
2022-05-11,26933300,126655000,2894500
2022-05-12,36298800,176621000,3096000
2022-05-13,16782600,131363000,2479800
2022-05-16,11993600,161450000,2077400
2022-05-17,11847600,98767000,2874600
2022-05-18,11794000,96656000,1803100
2022-05-19,11285000,104485000,1908400
2022-05-20,15650400,104294000,1856300
2022-05-23,14402400,96020000,2430100
2022-05-24,13970200,77064000,3996400
2022-05-25,11026600,85221000,2400500
2022-05-26,11297800,80499000,2272700
2022-05-27,13671300,85860000,2716300
2022-05-31,20274600,113985000,1770400
2022-06-01,11829700,84162000,1499100
2022-06-02,8829900,96231000,1283500
2022-06-03,6767600,71918000,1086900
2022-06-06,7575900,53720000,2425000
2022-06-07,7279100,48395000,2408300
2022-06-08,7019500,72441000,4138400
2022-06-09,8261200,69490000,2768300
2022-06-10,15369700,130656000,2497300
2022-06-13,15239700,102224000,2493000
2022-06-14,12443700,115553000,2466700
2022-06-15,11751600,123960000,2885400
2022-06-16,15298500,82013000,2165600
2022-06-17,15403800,121334000,1776300
2022-06-21,16649800,121776000,1568200
2022-06-22,11403500,119924000,1482200
2022-06-23,11348800,95382000,2197500
2022-06-24,11681200,124240000,2563300
2022-06-27,10793700,83639000,1639100
