date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
4/1/2025,DIS,5/2/2025,80,Call,17.85,18.4,0.363,0.9768,0.0054,-0.0208,0.0159,0.0656
4/1/2025,DIS,5/2/2025,80,Put,0.02,0.22,0.3785,-0.0286,0.006,-0.0109,0.0186,-0.0024
4/1/2025,DIS,5/2/2025,85,Call,13.1,13.4,0.3117,0.9483,0.012,-0.0269,0.0304,0.0674
4/1/2025,DIS,5/2/2025,85,Put,0.08,0.26,0.3006,-0.0465,0.0113,-0.0127,0.0277,-0.004
4/1/2025,DIS,5/2/2025,88,Call,10.05,10.6,0.267,0.925,0.0187,-0.0291,0.0405,0.0679
4/1/2025,DIS,5/2/2025,88,Put,0.41,0.45,0.3024,-0.1013,0.0207,-0.0233,0.0523,-0.008
4/1/2025,DIS,5/2/2025,90,Call,8.6,8.85,0.2937,0.8536,0.0275,-0.0419,0.0655,0.0633
4/1/2025,DIS,5/2/2025,90,Put,0.61,0.66,0.2892,-0.1446,0.0278,-0.0283,0.066,-0.0113
4/1/2025,DIS,5/2/2025,92,Call,6.55,8.15,0.3189,0.7699,0.0335,-0.0544,0.0866,0.0576
4/1/2025,DIS,5/2/2025,92,Put,0.92,0.98,0.2788,-0.2051,0.0362,-0.0338,0.0802,-0.0158
4/1/2025,DIS,5/2/2025,94,Call,5.35,6.6,0.321,0.6929,0.0385,-0.0608,0.1001,0.0524
4/1/2025,DIS,5/2/2025,94,Put,1.37,1.48,0.2718,-0.2848,0.0445,-0.0388,0.098,-0.0215
4/1/2025,DIS,5/2/2025,96,Call,4,4.15,0.2592,0.6273,0.0513,-0.0533,0.1078,0.0485
4/1/2025,DIS,5/2/2025,96,Put,1.85,2.21,0.261,-0.379,0.0522,-0.041,0.1076,-0.0277
4/1/2025,DIS,5/2/2025,98,Call,2.82,3.05,0.2542,0.5204,0.0551,-0.0534,0.1134,0.0406
4/1/2025,DIS,5/2/2025,98,Put,2.68,3,0.251,-0.4883,0.0575,-0.0402,0.1132,-0.0339
4/1/2025,DIS,5/2/2025,100,Call,1.86,2.28,0.2547,0.4124,0.0537,-0.051,0.1108,0.0324
4/1/2025,DIS,5/2/2025,100,Put,3.85,4.1,0.2504,-0.6017,0.0568,-0.0376,0.1086,-0.0389
4/1/2025,DIS,5/2/2025,102,Call,1.16,1.37,0.2407,0.3013,0.0508,-0.0425,0.0991,0.0239
4/1/2025,DIS,5/2/2025,102,Put,5.15,5.8,0.2648,-0.6947,0.0498,-0.0353,0.0999,-0.0417
4/1/2025,DIS,5/2/2025,104,Call,0.76,1.05,0.2532,0.2252,0.0416,-0.0379,0.0854,0.0179
4/1/2025,DIS,5/2/2025,104,Put,6.05,7.2,0.2152,-0.847,0.0483,-0.0166,0.0686,-0.035
4/1/2025,DIS,5/2/2025,105,Call,0.59,0.68,0.242,0.1765,0.0376,-0.0311,0.0737,0.0141
4/1/2025,DIS,5/2/2025,105,Put,6.95,8.35,0.2402,-0.853,0.0414,-0.0184,0.0646,-0.0361
4/1/2025,DIS,5/2/2025,107,Call,0.36,0.42,0.2441,0.118,0.0284,-0.0237,0.0562,0.0094
4/1/2025,DIS,5/2/2025,107,Put,9.4,9.65,0.2579,-0.8982,0.0326,-0.0147,0.0513,-0.0317
